,Estado,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
0,RORAIMA,Amazônia,8.0,0.0,0.4,64.1,1.9237,-60.3639
1,RORAIMA,Amazônia,7.0,0.0,0.35,62.3,1.8321,-60.6114
2,RORAIMA,Amazônia,6.0,0.32,0.3,53.5,2.2333,-60.7018
3,RORAIMA,Amazônia,11.0,0.0,0.98,54.1,2.7087,-60.2588
4,RORAIMA,Amazônia,7.0,0.0,0.41,153.5,1.9419,-60.3637
5,RORAIMA,Amazônia,10.0,0.0,0.88,92.1,2.7088,-60.2398
6,RORAIMA,Amazônia,7.0,0.0,0.41,48.4,1.9419,-60.3447
7,ALAGOAS,Mata Atlântica,-999.0,0.0,0.71,40.0,-9.46823,-35.5946
8,ALAGOAS,Mata Atlântica,-999.0,0.0,0.93,35.5,-9.47477,-35.58818
9,MARANHÃO,Amazônia,2.0,4.61,0.03,14.0,-4.73916,-46.65635
10,RORAIMA,Amazônia,7.0,0.0,0.35,39.8,1.8321,-60.6114
11,RORAIMA,Amazônia,7.0,0.0,0.41,48.7,1.9419,-60.3447
12,RORAIMA,Amazônia,10.0,0.0,0.88,70.4,2.7088,-60.2398
13,RORAIMA,Amazônia,7.0,0.0,0.41,52.4,1.9602,-60.3635
14,RORAIMA,Amazônia,11.0,0.0,0.98,52.8,2.7087,-60.2588
15,RORAIMA,Amazônia,6.0,0.32,0.3,44.0,2.2333,-60.7018
16,RORAIMA,Amazônia,8.0,0.0,0.4,63.4,1.9237,-60.3639
17,RORAIMA,Amazônia,7.0,0.0,0.41,136.9,1.9419,-60.3637
18,RORAIMA,Amazônia,6.0,0.32,0.3,42.6,2.2333,-60.7018
19,RORAIMA,Amazônia,10.0,0.0,0.88,76.5,2.7088,-60.2398
20,RORAIMA,Amazônia,11.0,0.0,0.98,49.5,2.7087,-60.2588
21,RORAIMA,Amazônia,7.0,0.0,0.41,124.3,1.9419,-60.3637
22,RORAIMA,Amazônia,7.0,0.0,0.35,44.2,1.8321,-60.6114
23,RORAIMA,Amazônia,7.0,0.0,0.41,42.6,1.9419,-60.3447
24,RORAIMA,Amazônia,8.0,0.0,0.4,65.0,1.9237,-60.3639
25,RORAIMA,Amazônia,8.0,0.0,0.4,41.9,1.9419,-60.3827
26,RORAIMA,Amazônia,8.0,0.0,0.4,39.9,1.9419,-60.3827
27,RORAIMA,Amazônia,7.0,0.0,0.41,136.7,1.9419,-60.3637
28,RORAIMA,Amazônia,10.0,0.0,0.88,53.0,2.7088,-60.2398
29,RORAIMA,Amazônia,6.0,0.32,0.3,44.6,2.2333,-60.7018
30,RORAIMA,Amazônia,7.0,0.0,0.35,42.9,1.8321,-60.6114
31,RORAIMA,Amazônia,8.0,0.0,0.4,59.7,1.9237,-60.3639
32,RORAIMA,Amazônia,7.0,0.0,0.41,43.7,1.9419,-60.3447
33,RORAIMA,Amazônia,9.0,0.0,0.4,38.9,1.9236,-60.3829
34,RORAIMA,Amazônia,7.0,0.0,0.41,37.7,1.9602,-60.3635
35,RORAIMA,Amazônia,10.0,0.0,0.88,45.6,2.7088,-60.2398
36,RORAIMA,Amazônia,9.0,0.0,0.4,43.7,1.9236,-60.3829
37,RORAIMA,Amazônia,7.0,0.0,0.41,48.0,1.9419,-60.3447
38,RORAIMA,Amazônia,7.0,0.0,0.41,119.3,1.9419,-60.3637
39,RORAIMA,Amazônia,8.0,0.0,0.4,67.9,1.9237,-60.3639
40,RORAIMA,Amazônia,10.0,0.0,0.88,45.1,2.7088,-60.2398
41,RORAIMA,Amazônia,8.0,0.0,0.4,73.5,1.9237,-60.3639
42,RORAIMA,Amazônia,7.0,0.0,0.41,40.6,1.9602,-60.3635
43,RORAIMA,Amazônia,7.0,0.0,0.41,40.3,1.9419,-60.3447
44,RORAIMA,Amazônia,8.0,0.0,0.4,40.1,1.9419,-60.3827
45,RORAIMA,Amazônia,9.0,0.0,0.4,54.9,1.9236,-60.3829
46,RORAIMA,Amazônia,7.0,0.0,0.41,108.7,1.9419,-60.3637
47,RORAIMA,Amazônia,6.0,0.32,0.3,31.8,2.2333,-60.7018
48,RORAIMA,Amazônia,10.0,0.0,0.88,47.9,2.7088,-60.2398
49,RORAIMA,Amazônia,7.0,0.0,0.41,109.5,1.9419,-60.3637
50,RORAIMA,Amazônia,8.0,0.0,0.4,57.1,1.9237,-60.3639
51,RORAIMA,Amazônia,9.0,0.0,0.4,38.6,1.9236,-60.3829
52,RORAIMA,Amazônia,7.0,0.0,0.41,41.0,1.9419,-60.3447
53,RORAIMA,Amazônia,7.0,0.0,0.41,110.4,1.9419,-60.3637
54,RORAIMA,Amazônia,8.0,0.0,0.4,53.9,1.9237,-60.3639
55,RORAIMA,Amazônia,10.0,0.0,0.88,44.8,2.7088,-60.2398
56,RORAIMA,Amazônia,7.0,0.0,0.41,95.6,1.9419,-60.3637
57,RORAIMA,Amazônia,10.0,0.0,0.88,41.7,2.7088,-60.2398
58,RORAIMA,Amazônia,8.0,0.0,0.4,58.7,1.9237,-60.3639
59,RORAIMA,Amazônia,10.0,0.0,0.88,38.5,2.7088,-60.2398
